product_id,product_name,category,price,cost,brand,stock_quantity
1,Ameliorated encompassing encoding,Sports,630.41,395.22,Burch-Cruz,980
2,Upgradable systematic migration,Sports,384.44,267.03,Kim LLC,808
3,Stand-alone non-volatile initiative,Home,72.08,50.05,Hayes Group,339
4,Centralized homogeneous Graphical User Interface,Beauty,219.62,402.9,Edwards-Miller,495
5,Cross-platform background software,Sports,213.04,200.39,"Navarro, Morales and Orozco",361
6,Public-key attitude-oriented toolset,Sports,452.05,179.31,Rhodes Group,282
7,Proactive client-server capability,Beauty,576.53,266.64,Bryant-Goodwin,621
8,Organized mobile function,Electronics,860.08,117.68,Cross-Parsons,92
9,Future-proofed mobile installation,Sports,317.9,105.54,Howard-Morris,846
10,Distributed fault-tolerant complexity,Books,357.32,81.12,"Norris, Butler and Martin",807
11,Compatible neutral hub,Sports,20.7,487.28,Richardson and Sons,555
12,Advanced contextually-based focus group,Clothing,56.8,107.22,"Stout, Black and Decker",428
13,Multi-channeled encompassing instruction set,Electronics,977.42,478.86,Collins Inc,277
14,Compatible radical standardization,Sports,924.3,334.96,Rogers-Smith,379
15,Networked system-worthy model,Beauty,487.37,131.5,Marshall LLC,340
16,User-centric cohesive forecast,Beauty,616.08,24.87,"Reed, Joseph and Sullivan",120
17,Total eco-centric adapter,Clothing,34.24,39.51,"Peck, Griffin and Little",239
18,Automated dynamic artificial intelligence,Electronics,718.62,275.21,Marsh and Sons,540
19,Customizable didactic solution,Books,125.97,166.45,Nichols Ltd,661
20,Multi-tiered dedicated project,Books,366.81,452.36,"Jimenez, Glenn and Taylor",487
21,Reduced mission-critical frame,Home,364.97,77.33,Tapia PLC,634
22,Secured heuristic migration,Sports,242.74,361.81,Brown PLC,499
23,Cross-platform logistical Graphic Interface,Home,153.04,11.79,Wiggins Group,422
24,Sharable content-based workforce,Home,849.66,352.96,Nunez PLC,148
25,Distributed didactic firmware,Home,963.91,470.94,Morton LLC,496
26,Reactive analyzing product,Books,828.58,329.3,Brown Ltd,247
27,Digitized tangible capability,Clothing,290.96,421.62,Duran-Kramer,244
28,Automated grid-enabled implementation,Electronics,140.88,416.72,"Gonzalez, Savage and Walsh",547
29,Monitored radical algorithm,Books,666.23,360.76,"Barnes, Finley and Banks",154
